 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"41 Paraná";255935;322596;323765;310865;315649;325467;330391;322050;322195;321120;297386;313432;320575;298791;321972;317076;322278;323131;334731;329127;318444;320715;316059;316826;312692;299777;324653;332457;334057;339223;334820;338990;333473;331716;333648;325527;331559;312847;324905;330119;326271;330300;335233;329182;319702;324068;320389;323292;320113;301490;312778;311912;329909;327000;329661;328548;315459;319830;314200;301182;308146;292046;305918;314803;315505;310410;313927;320313;313629;308747;307449;293349;299047;294806;292860;298999;312538;306443;318154;320103;315515;311274;309211;288205;298501;285522;301384;305798;312014;312637;312744;310320;303722;293866;302803;296637;295299;287201;305139;303971;320491;315883;320049;313985;314312;310645;302257;296553;294281;285467;307763;307957;316612;314254;323083;326070;313442;317005;320502;313874;321523;296129;310853;321244;325474;325995;336596;334521;328474;329233;324449;310115;320396;306517;312093;310831;323602;317317;321362;320387;318879;320153;311886;301125;309859;319853;302676;257104;284150;246614;262060;274045;274476;289816;288638;277096;291884;304154;312875;49639452
"42 Santa Catarina";121839;170090;175846;174294;177900;189688;191115;189683;182221;187218;155872;171825;184191;162939;185047;178088;183842;179389;190855;190033;190692;183051;181954;168056;174329;150671;180887;178280;174465;176616;180588;185765;178885;185096;180862;186987;172805;168168;177206;177367;197665;186881;190671;187700;190776;195411;185377;180294;172668;170628;181910;175131;195890;188954;193075;197665;181576;184774;177945;171579;182308;170652;178557;190361;190884;186761;200479;193159;189503;191724;187001;181639;181439;181040;181605;177484;193580;191308;193858;207066;205911;198958;188027;175825;182525;177787;184618;191432;189704;200117;198992;200134;196414;195196;179582;185589;178932;181653;182500;194333;197129;197885;194179;199676;198229;190325;191127;173624;186003;167526;195428;179756;202886;196411;194223;202746;184577;192377;188398;177792;168646;175403;191447;193997;199623;202366;200894;205463;194319;194712;184704;175483;188448;180457;179142;188264;198009;198283;207237;199454;197023;202258;186863;179952;171712;188944;183105;155131;147376;150915;157647;157110;163238;164321;168925;167322;175017;176254;196673;29266346
"43 Rio Grande do Sul";230154;386539;349024;369205;321003;349923;375920;372201;360827;357344;327688;339635;325542;323989;369460;351017;361734;362044;374258;384569;374209;369739;357324;350704;352857;339728;356779;365529;378311;360122;377558;378463;372808;365341;370888;370136;318896;312751;349232;340063;367244;393041;396328;365143;362212;366308;378930;338743;321207;339894;376076;345462;374206;410222;401102;413302;377566;352600;362082;327338;356813;350337;369261;381111;406321;379602;409132;419227;387423;399132;384444;365237;378797;368194;370659;383136;398954;394996;426768;407573;404877;411328;397642;365704;370362;359988;396500;395562;396857;410035;416364;419458;393538;393791;403806;370953;352358;366406;381670;378606;385738;390206;403640;403255;379840;400609;383253;380715;348397;328471;373513;362400;394726;391778;412579;400191;392496;383170;386735;363698;362394;341089;368417;374623;378660;381234;395062;404357;400650;395581;379386;365798;367943;358810;365504;380488;392811;388830;416633;414816;399516;417066;373279;366090;381953;363634;374860;314873;299775;302464;327370;323443;325490;366630;353108;347349;346399;336981;370364;59034582
"50 Mato Grosso do Sul";39581;51142;53953;56063;63891;71109;65714;62395;68657;62624;59188;54530;58436;59188;60285;63612;65376;64372;67651;61654;64503;63930;59655;58409;62542;62210;66400;64824;67278;66251;64538;65256;65934;65044;63606;65359;58505;53946;65690;62915;62310;60373;62358;59981;67472;56668;60798;63239;56272;54532;57511;56781;61729;64105;66580;67499;68718;61857;59857;63529;62570;62180;62455;61666;65491;68940;74571;71041;68671;68837;66894;61892;61993;64080;61890;64146;66461;65719;66241;72292;63926;64146;64721;64369;61246;65972;67362;65201;72814;67412;67873;67326;67643;62330;60125;60251;64254;63798;65357;64229;66751;65656;68575;67521;66138;61345;65385;64382;61641;58868;66877;62939;66520;66840;67221;70181;68032;64851;63760;61001;66075;69328;63341;64229;69105;71605;68662;65443;66883;61707;62401;62002;66114;66906;65822;70647;67346;70248;73667;72162;71889;68509;63895;66664;68447;68295;69500;65663;61923;60034;59554;60836;60106;58445;61440;56097;61446;68000;64317;10190007
"51 Mato Grosso";33498;60524;59621;63612;61439;71550;66461;66616;61793;67427;53586;60878;59400;56091;72508;65644;72130;70237;68036;67837;61253;68900;66172;62982;66547;62469;67597;66842;69481;65098;72255;71329;68470;67722;68473;61797;66904;63640;65844;65659;61088;59549;63001;55473;68603;70514;69162;66333;58755;61619;67750;66375;68254;72720;67864;70458;71967;66388;66702;70837;66639;66483;68666;65760;68562;75314;66827;72337;67786;66105;68481;68081;64063;63867;66799;70906;71781;70124;75699;71569;69160;68766;70322;64928;62964;66606;69354;71664;73163;71719;74087;71319;75255;72898;70069;69841;71039;66546;73284;73351;72228;77496;74915;76113;75336;77050;75098;67264;69047;66884;72988;75880;78674;71840;73126;74523;71351;74056;70299;66488;75380;68021;75386;73605;75201;72994;76040;69747;72514;74282;69581;67598;67010;69564;75143;73327;78355;74068;75974;78849;75122;76422;73819;69965;67447;70444;65617;54510;57640;55502;58039;61818;62331;70151;63723;62559;65159;62659;60101;10850241
"52 Goiás";129282;162670;158479;162508;162390;133058;155485;154739;157188;152655;130640;143534;142164;146469;153208;154338;159623;159380;156292;155647;158183;159778;158722;157460;153544;155843;163893;159971;158343;158422;160002;161993;160740;160302;158083;151914;155183;150547;162376;157794;153433;148460;151116;153772;156751;152438;152624;147604;150275;148597;151649;151303;155366;151112;143419;143634;145411;145015;147431;142412;144957;145124;146592;159135;157854;148362;150756;150691;152286;145005;151898;141620;148160;135558;136725;143316;148516;141086;148551;141850;146003;149166;140869;144047;146153;137304;150876;149323;154877;152432;150758;147534;146744;140284;147534;137983;138789;135242;142601;140615;132663;140236;132028;141983;133385;130256;130462;130668;129646;127423;132008;132274;136721;132821;129523;126627;131179;131669;130203;127847;129388;120660;131802;125777;130613;130687;130266;131985;133081;133979;127060;131441;133000;125843;139505;136144;139872;137609;141157;144638;141333;144289;136098;137872;137497;130844;136108;117403;121319;117869;123496;135515;130636;134963;126413;133425;134402;123664;115315;22794430
"53 Distrito Federal";49964;81182;88655;95075;107341;112332;108847;117001;107042;117890;94927;103552;91781;76451;100758;92002;103832;116507;101705;108617;98721;107197;98312;90524;104911;92045;105413;104889;107531;103592;108144;105128;101958;97582;100101;98902;101252;97886;107119;112419;119392;101586;107936;101683;100313;102316;96583;99000;101598;104347;101712;123887;111501;108764;117434;114940;102988;104500;98049;85911;105597;112099;116680;105944;107524;91081;104605;110308;99067;93756;90918;71704;90200;95750;98539;84025;103675;92230;103391;110302;100990;100937;92560;79166;92446;89288;104300;101190;104827;100032;103601;98250;96441;84746;90789;82692;88526;84703;99476;103773;108454;111560;94916;114640;95019;92651;98885;93772;102715;100688;106895;96221;96885;89058;88222;94664;100218;100605;105478;97681;96141;112234;109738;113415;114229;120405;128478;135619;103233;100317;93070;81944;118444;104719;124930;111462;116311;109260;117029;125787;97078;95406;100739;102947;116418;108552;122547;105199;81588;85554;87655;89297;82267;94131;90763;100489;101259;98985;122069;16118590
"Total";3516949;4743864;5175568;5252761;5457019;5654337;5697132;5630667;5575208;5438959;4931887;5115237;4914364;4871999;5377392;5303208;5538091;5444484;5572566;5559534;5452024;5464009;5368517;5226773;5269988;4973070;5444735;5428802;5548086;5403041;5533342;5589602;5425524;5429003;5485243;5426912;5280478;5116951;5426523;5446073;5489114;5339177;5598058;5398271;5460172;5467193;5417706;5347328;5098757;5073843;5445524;5321054;5559374;5495346;5545614;5514764;5313077;5304186;5145431;4961654;5155281;5024678;5255112;5447254;5526940;5383206;5571094;5582444;5425377;5489212;5249825;5080100;5307337;5042481;5167817;5169694;5501411;5300788;5604967;5534232;5474211;5469726;5271278;5056273;5203821;4987303;5334363;5338938;5463371;5434245;5559876;5473544;5361010;5281378;5200549;5074420;5045219;5031149;5302225;5281070;5352726;5416368;5381799;5465606;5235360;5134365;5083559;5044698;4975531;4767399;5276694;5029148;5428324;5250745;5329216;5363269;5239441;5280213;5221455;5049429;5141488;4925746;5236604;5305641;5392075;5335120;5468004;5447813;5239991;5323783;5106280;4937129;5326396;4970433;5262935;5304465;5555163;5315884;5535233;5561369;5366061;5466730;5192482;5111330;5288330;5088547;5110846;4324058;4322046;4359006;4698466;4725745;4681252;4838526;4787432;4707140;4819964;4689402;4935362;834798406
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
